network,plan_cost,validity,data_per_day,sms_per_day,additional_data,additional_sms
airtel,155,24,0,0,1,300
airtel,179,28,0,0,2,300
airtel,199,30,0,0,3,300
airtel,209,21,1,100,0,0
airtel,239,24,1,100,0,0
airtel,265,28,1,100,0,0
airtel,296,30,0,100,25,0
airtel,299,28,1.5,100,0,0
airtel,319,29.5,2,100,0,0
airtel,359,29.5,2,100,0,0
airtel,399,28,3,100,0,0
airtel,455,84,0,0,6,900
airtel,479,56,1.5,100,0,0
airtel,489,30,0,0,50,300
airtel,499,28,3,100,0,0
airtel,509,29.5,0,0,60,300
airtel,519,60,1.5,100,0,0
airtel,549,56,2,100,0,0
airtel,666,77,1.5,100,0,0
airtel,699,56,3,100,0,0
airtel,719,84,1.5,100,0,0
airtel,779,90,1.5,100,0,0
airtel,839,84,2,100,0,0
airtel,999,84,2.5,100,0,0
airtel,1799,365,0,0,24,3600
airtel,2999,365,2,100,0,0
airtel,3359,365,2.5,100,0,0
jio,119,14,1.5,0,0,300
jio,149,20,1,100,0,0
jio,155,28,0,0,2,300
jio,179,24,1,100,0,0
jio,199,23,1.5,100,0,0
jio,209,28,1,100,0,0
jio,219,14,3,100,2,0
jio,239,28,1.5,100,0,0
jio,249,23,2,100,0,0
jio,259,29.5,1.5,100,0,0
jio,296,30,0,100,25,0
jio,299,28,2,100,0,0
jio,299,28,2,100,0,0
jio,349,30,2.5,100,0,0
jio,395,84,0,0,6,1000
jio,399,28,3,100,6,0
jio,479,56,1.5,100,0,0
jio,533,56,2,100,0,0
jio,666,84,1.5,100,0,0
jio,719,84,2,100,0,0
jio,749,90,2,100,0,0
jio,899,90,2.5,100,0,0
jio,999,84,3,100,40,0
jio,1559,336,0,0,24,3600
jio,2023,252,2.5,100,0,0
jio,2545,336,1.5,100,0,0
jio,2879,365,2,100,0,0
jio,2999,388,2.5,100,75,0
vi,98,14,0,0,0.2,0
vi,129,18,0,0,0.2,0
vi,149,21,0,0,1,0
vi,155,24,0,0,1,300
vi,179,28,0,0,2,300
vi,195,29.5,0,0,3,300
vi,199,18,1,100,0,0
vi,209,28,0,100,4,0
vi,219,21,1,100,0,0
vi,239,24,1,100,0,0
vi,249,21,1.5,100,0,0
vi,269,28,1,100,0,0
vi,289,48,0,0,4,600
vi,296,30,0,100,25,0
vi,299,28,1.5,100,0,0
vi,319,29.5,2,100,0,0
vi,329,56,0,0,4,600
vi,359,28,3,100,0,0
vi,368,30,2,100,0,0
vi,369,30,2,100,0,0
vi,399,28,2.5,100,0,0
vi,409,28,3.5,100,0,0
vi,429,78,0,0,6,1000
vi,459,84,0,0,6,1000
vi,475,28,4,100,0,0
vi,479,56,1.5,100,0,0
vi,499,28,3,100,0,0
vi,537,60,0,100,50,0
vi,539,56,2,100,0,0
vi,599,70,1.5,100,0,0
vi,601,28,3,100,0,0
vi,666,77,1.5,100,0,0
vi,699,56,3,100,0,0
vi,719,84,1.5,100,0,0
vi,839,84,2,100,0,0
vi,901,70,3,100,0,0
vi,949,180,0,0,12,1200
vi,1066,84,2,100,0,0
vi,1449,180,1.5,100,0,0
vi,1799,365,0,0,24,3600
vi,2899,365,1.5,100,0,0
vi,2999,365,0,100,850,0
vi,3099,365,2,100,0,0